 12 - 30;  2 - 40;  1 - 50;  0 - 42;  2 - 50;  3 - 40;  10 - 39;  6 - 42;  0 - 43;  31 - 16;  2 - 45;  1 - 45;  6 - 43;  0 - 42;  1 - 45;  1 - 48;  3 - 39;  0 - 50;  12 - 35;  4 - 43;  1 - 41;  0 - 42;  5 - 45;  2 - 40;  0 - 42;  11 - 39;  1 - 41;  13 - 33;  22 - 27;  11 - 38; 
 3 - 40;  2 - 40;  1 - 44;  2 - 40;  0 - 50;  2 - 48;  2 - 40;  13 - 38;  4 - 42;  3 - 42;  4 - 45;  3 - 42;  1 - 41;  5 - 38;  3 - 42;  4 - 42;  2 - 40;  3 - 41;  2 - 40;  11 - 40;  4 - 43;  11 - 38;  3 - 39;  0 - 42;  7 - 44;  1 - 41;  22 - 27;  13 - 29;  2 - 49;  3 - 39; 
 22 - 26;  0 - 48;  3 - 39;  5 - 42;  3 - 45;  5 - 38;  7 - 39;  12 - 30;  10 - 41;  11 - 38;  1 - 48;  11 - 31;  12 - 30;  20 - 26;  1 - 49;  0 - 42;  2 - 40;  3 - 45;  12 - 30;  0 - 48;  11 - 32;  1 - 42;  2 - 40;  1 - 48;  14 - 28;  11 - 38;  2 - 40;  2 - 45;  2 - 49;  3 - 43; 
 4 - 43;  11 - 39;  1 - 44;  11 - 39;  21 - 21;  0 - 43;  0 - 43;  1 - 41;  14 - 28;  3 - 39;  1 - 45;  1 - 46;  1 - 41;  1 - 41;  3 - 40;  4 - 45;  11 - 31;  11 - 37;  0 - 44;  11 - 38;  12 - 30;  10 - 39;  3 - 39;  1 - 50;  21 - 21;  0 - 47;  3 - 39;  2 - 40;  1 - 44;  1 - 41; 
 11 - 31;  4 - 38;  1 - 43;  2 - 43;  4 - 43;  14 - 32;  2 - 40;  0 - 46;  11 - 38;  11 - 39;  3 - 45;  1 - 43;  3 - 42;  1 - 41;  32 - 19;  2 - 40;  13 - 29;  14 - 37;  1 - 42;  10 - 37;  10 - 32;  11 - 31;  4 - 41;  10 - 39;  2 - 41;  11 - 37;  23 - 25;  11 - 31;  1 - 43;  1 - 41; 
 4 - 39;  11 - 36;  0 - 42;  4 - 41;  1 - 43;  1 - 43;  2 - 46;  1 - 46;  0 - 48;  3 - 39;  1 - 43;  11 - 31;  0 - 42;  3 - 47;  1 - 41;  10 - 32;  3 - 39;  0 - 47;  2 - 40;  1 - 44;  1 - 45;  5 - 45;  4 - 46;  10 - 35;  14 - 34;  1 - 41;  11 - 37;  12 - 39;  1 - 41;  10 - 33; 
 4 - 46;  2 - 41;  7 - 42;  11 - 39;  23 - 25;  2 - 40;  3 - 39;  13 - 32;  3 - 39;  1 - 47;  2 - 40;  1 - 41;  11 - 37;  4 - 42;  0 - 50;  4 - 43;  12 - 35;  6 - 41;  1 - 41;  15 - 27;  0 - 42;  22 - 26;  14 - 28;  0 - 47;  6 - 36;  12 - 36;  1 - 48;  20 - 31;  1 - 41;  2 - 40; 
 2 - 40;  2 - 41;  0 - 42;  0 - 51;  32 - 19;  2 - 42;  0 - 42;  1 - 41;  12 - 30;  22 - 29;  2 - 42;  5 - 41;  1 - 41;  1 - 42;  2 - 48;  6 - 38;  1 - 45;  12 - 38;  13 - 30;  2 - 40;  0 - 47;  4 - 44;  0 - 42;  5 - 41;  14 - 31;  12 - 30;  11 - 39;  4 - 41;  11 - 34;  10 - 33; 
 4 - 45;  10 - 32;  31 - 17;  6 - 36;  1 - 41;  0 - 48;  23 - 28;  3 - 47;  13 - 29;  0 - 45;  12 - 39;  1 - 43;  3 - 42;  11 - 39;  2 - 41;  0 - 43;  0 - 47;  1 - 41;  3 - 39;  12 - 30;  3 - 43;  21 - 29;  10 - 32;  0 - 45;  10 - 32;  12 - 30;  2 - 49;  11 - 36;  5 - 43;  0 - 49; 
 11 - 38;  1 - 41;  14 - 28;  13 - 37;  23 - 27;  2 - 47;  0 - 42;  3 - 40;  5 - 44;  0 - 49;  2 - 40;  1 - 44;  11 - 31;  1 - 41;  3 - 39;  2 - 40;  2 - 44;  3 - 39;  10 - 33;  10 - 40;  13 - 30;  4 - 43;  3 - 39;  2 - 40;  3 - 39;  2 - 41;  5 - 37;  12 - 31;  2 - 40;  11 - 31; 
 1 - 41;  12 - 30;  2 - 40;  2 - 42;  1 - 42;  2 - 45;  6 - 41;  1 - 41;  12 - 34;  3 - 39;  2 - 40;  12 - 30;  10 - 32;  0 - 50;  0 - 43;  0 - 42;  3 - 39;  2 - 40;  10 - 39;  4 - 39;  1 - 41;  10 - 32;  2 - 47;  24 - 18;  11 - 31;  1 - 48;  12 - 30;  0 - 42;  11 - 33;  11 - 35; 
 12 - 30;  24 - 18;  12 - 36;  0 - 42;  4 - 38;  1 - 41;  8 - 41;  12 - 30;  11 - 36;  0 - 42;  0 - 48;  1 - 41;  10 - 36;  12 - 35;  0 - 42;  3 - 45;  12 - 30;  11 - 35;  1 - 41;  6 - 42;  12 - 39;  2 - 46;  11 - 31;  5 - 42;  12 - 39;  3 - 39;  2 - 46;  3 - 39;  15 - 27;  12 - 39; 
