 14 - 21;  11 - 19;  11 - 23;  21 - 11;  1 - 29;  18 - 16;  19 - 11;  6 - 29;  14 - 18;  4 - 26;  17 - 17;  3 - 27;  14 - 16;  11 - 19;  0 - 32;  0 - 30;  3 - 27;  8 - 22;  2 - 28;  12 - 18;  17 - 13;  3 - 27;  9 - 22;  2 - 32;  3 - 28;  2 - 32;  10 - 20;  8 - 27;  1 - 29;  1 - 32; 
 14 - 21;  26 - 4;  18 - 12;  12 - 22;  24 - 7;  9 - 21;  8 - 27;  14 - 16;  15 - 15;  27 - 4;  28 - 7;  9 - 21;  20 - 11;  8 - 27;  18 - 12;  22 - 8;  13 - 17;  7 - 27;  19 - 11;  9 - 21;  1 - 29;  17 - 13;  13 - 17;  16 - 14;  10 - 23;  9 - 21;  1 - 29;  0 - 30;  0 - 35;  9 - 24; 
 23 - 12;  18 - 12;  12 - 22;  19 - 11;  12 - 21;  9 - 21;  0 - 30;  7 - 23;  1 - 29;  9 - 21;  17 - 13;  15 - 19;  10 - 21;  16 - 19;  5 - 25;  9 - 21;  9 - 21;  16 - 14;  12 - 18;  22 - 8;  1 - 31;  3 - 27;  20 - 11;  5 - 25;  10 - 20;  7 - 23;  10 - 25;  6 - 24;  2 - 28;  3 - 29; 
 21 - 12;  11 - 19;  8 - 22;  24 - 6;  20 - 10;  14 - 16;  10 - 20;  16 - 17;  13 - 17;  10 - 20;  24 - 7;  15 - 15;  8 - 22;  16 - 14;  28 - 2;  26 - 4;  5 - 25;  12 - 22;  19 - 12;  24 - 11;  13 - 22;  17 - 13;  16 - 14;  7 - 23;  17 - 13;  7 - 23;  7 - 23;  2 - 33;  2 - 28;  8 - 22; 
 12 - 21;  11 - 20;  17 - 13;  7 - 23;  19 - 12;  18 - 16;  6 - 24;  26 - 4;  12 - 19;  15 - 15;  8 - 25;  15 - 20;  6 - 24;  17 - 13;  17 - 17;  15 - 15;  16 - 18;  23 - 9;  7 - 27;  17 - 17;  23 - 7;  20 - 10;  8 - 27;  13 - 20;  9 - 26;  13 - 20;  2 - 30;  0 - 30;  2 - 30;  7 - 24; 
 27 - 8;  6 - 24;  16 - 14;  20 - 15;  29 - 6;  26 - 7;  13 - 17;  27 - 3;  26 - 4;  18 - 12;  8 - 22;  22 - 13;  18 - 14;  7 - 26;  21 - 11;  10 - 20;  9 - 21;  5 - 30;  15 - 15;  22 - 8;  13 - 17;  18 - 13;  25 - 5;  8 - 22;  29 - 6;  14 - 20;  2 - 28;  3 - 30;  0 - 31;  1 - 33; 
 16 - 14;  17 - 13;  17 - 13;  24 - 9;  24 - 7;  20 - 11;  12 - 23;  16 - 18;  15 - 15;  10 - 21;  24 - 11;  17 - 15;  15 - 20;  21 - 14;  10 - 20;  9 - 21;  14 - 16;  22 - 8;  15 - 17;  15 - 15;  14 - 16;  17 - 18;  8 - 26;  15 - 20;  3 - 32;  6 - 24;  1 - 29;  6 - 27;  2 - 29;  0 - 30; 
 25 - 5;  26 - 7;  13 - 17;  13 - 17;  20 - 10;  25 - 9;  15 - 20;  18 - 12;  12 - 18;  23 - 11;  11 - 19;  17 - 16;  22 - 8;  16 - 19;  18 - 17;  7 - 23;  19 - 11;  15 - 15;  25 - 8;  9 - 21;  19 - 13;  12 - 20;  21 - 11;  1 - 29;  13 - 19;  16 - 14;  2 - 32;  1 - 30;  2 - 28;  6 - 28; 
 12 - 20;  27 - 6;  18 - 12;  14 - 18;  11 - 21;  20 - 10;  27 - 5;  16 - 14;  11 - 19;  6 - 24;  10 - 24;  10 - 20;  9 - 25;  5 - 25;  17 - 15;  6 - 28;  9 - 21;  23 - 7;  15 - 15;  7 - 23;  16 - 14;  20 - 10;  24 - 6;  14 - 16;  10 - 21;  8 - 22;  9 - 21;  1 - 33;  7 - 23;  1 - 33; 
 9 - 21;  22 - 13;  20 - 14;  20 - 10;  16 - 15;  18 - 12;  20 - 10;  16 - 16;  27 - 4;  15 - 15;  11 - 19;  11 - 19;  15 - 15;  21 - 13;  16 - 14;  12 - 18;  17 - 13;  24 - 10;  19 - 14;  15 - 19;  18 - 12;  7 - 25;  20 - 14;  6 - 28;  12 - 20;  8 - 22;  1 - 34;  3 - 30;  7 - 23;  6 - 28; 
 19 - 12;  11 - 19;  14 - 17;  16 - 14;  12 - 22;  9 - 21;  13 - 17;  15 - 19;  10 - 25;  12 - 18;  25 - 9;  31 - 4;  11 - 21;  5 - 27;  11 - 19;  7 - 23;  9 - 26;  10 - 21;  16 - 14;  6 - 28;  24 - 6;  13 - 17;  2 - 31;  10 - 23;  15 - 15;  14 - 16;  2 - 32;  15 - 15;  9 - 26;  2 - 28; 
 20 - 13;  23 - 11;  19 - 11;  15 - 16;  20 - 10;  28 - 6;  11 - 19;  19 - 14;  10 - 24;  19 - 11;  19 - 15;  17 - 13;  16 - 14;  25 - 10;  19 - 13;  18 - 14;  17 - 13;  28 - 7;  20 - 11;  14 - 17;  18 - 12;  11 - 22;  1 - 29;  13 - 17;  25 - 5;  10 - 20;  12 - 18;  1 - 33;  2 - 30;  12 - 18; 
